pop,x_coord,y_coord
AFR,-5.57032469961,-5.22532572253
SAS,-7.06409834888,-17.288796716
AFR,-11.6142311422,-18.7084537352
EUR,-2.98572244144,-11.7478110046
EAS,8.32795393239,-26.2080109691
SAS,2.0312220092,-21.0278660417
SAS,7.02424033947,-28.5644387796
AMR,0.24150049166,-8.67982932132
AFR,2.66346844769,-21.2275326342
SAS,-14.8290796893,-20.7094200436
EUR,-16.0728455216,-22.5334366443
AFR,2.61718706961,-21.61284105
SAS,-1.09315617878,-19.090137245
AFR,4.47228754262,-28.5731036323
SAS,-13.5025657843,-30.5771809714
EAS,-4.12073751808,-4.06537113525
AMR,1.7778074068,-20.5208157521
AFR,1.79819603298,-10.5785448898
AMR,-6.07251884486,-23.7137656916
AFR,-11.0240495722,-21.9721823885
AMR,2.43795563812,-23.3441417421
EAS,2.60196903979,-28.1618611207
AFR,0.782095723096,-22.5233795402
SAS,-0.781547085976,-10.9634166532
AMR,3.66422588854,-30.7181533955
EAS,-2.87426691168,-12.205857962
AFR,4.89995613481,-22.1650932089
EAS,-2.60298633669,-10.4328016344
AFR,-6.75082037278,-17.1194397325
SAS,-18.1997569356,-25.3441681041
EAS,-1.85506435705,-19.8953200367
AFR,2.96087631159,-16.7338997691
EUR,-4.58203038893,-8.20948503353
AFR,-20.1462504887,-20.7527471209
AMR,-0.168735725667,-17.8183336439
SAS,5.56107127959,-18.0791926075
SAS,-11.2320673664,-17.2611153207
SAS,4.90412038512,-26.7989147205
SAS,9.21516739963,-23.4911496356
EUR,-4.01618073704,-11.0574515521
AFR,-18.3630857803,-22.0955385711
AFR,7.22063946375,-28.3730508129
EUR,-2.69442649092,-13.6846430977
EUR,-12.5634472833,-18.0934922581
EAS,-2.33826260479,-15.6284450547
AFR,-1.07506020271,-33.9409696438
AMR,-13.1490193833,-15.9185589394
SAS,-1.35109059602,-26.7839934691
AFR,2.20189965865,-28.8160422988
EUR,4.11910489395,-28.9387154656
SAS,1.20402307695,-9.54367596248
AFR,0.304376310339,-13.3459059794
EUR,-1.08637812796,-14.074258236
EAS,-1.95412533762,-17.8566484292
AMR,-10.5118412705,-19.6714767846
AMR,2.5352703854,-24.9769004366
AFR,-13.3474297864,-17.5594802479
AFR,4.98698258562,-20.2078042918
AMR,-3.18974016555,-18.4188997918
EAS,5.93576234752,-20.8537967389
SAS,-10.4640179616,-24.3658663891
AFR,-4.87608148084,-24.1157166259
EUR,3.1699006867,-18.4904679718
SAS,-0.0440198677733,-16.4663543841
EAS,3.57916712153,-21.6310493576
AFR,-8.74230649876,-26.5091718345
EUR,-1.74287258358,-16.9590152945
EUR,1.30991780312,-14.3268967191
AFR,-11.2140032165,-29.6150788715
EAS,2.37431794605,-16.167457125
AMR,-13.0516257937,-13.982239963
EAS,0.824167511863,-17.1783843443
AMR,4.08393322301,-22.3338412358
EUR,-17.9060822912,-24.3932253278
EAS,-20.8468725482,-24.6176937437
SAS,3.03981142323,-16.8251811375
SAS,3.13484945873,-21.5212358631
EUR,-9.5605732102,-19.8741417232
SAS,1.13350283635,-23.7314816381
EUR,7.01865058167,-19.2522749615
SAS,-14.0691568046,-24.311705814
EAS,-21.7752686801,-25.1122048168
EAS,-18.9868627573,-24.0978544342
EUR,-4.04159451696,-17.8072708239
AFR,-2.69779598657,-7.9647062037
AFR,3.48523941046,-17.3762336656
SAS,1.81212414191,-1.78922949517
EAS,-3.64216352629,-16.7296303905
EAS,-3.34484369331,-21.0605475553
EAS,-15.1118236299,-29.4111629782
AFR,-2.81147315988,-14.2544379114
AFR,-3.52068268669,-12.5301290262
